date,ticker,side,call_prem_pct,size,return_pct,pnl_pu_pct,pnl_contribution_pct,in_recovery
2015-02-01,AAPL,buy_call,1.5913,1,9.6449,8.0537,0.080537,False
2015-02-01,ABBV,buy_call,1.4298,1,1.0012,-0.4286,-0.004286,False
2015-02-01,ABT,buy_call,1.2442,1,6.3914,5.1472,0.051472,False
2015-02-01,ADBE,buy_call,1.4541,1,12.7905,11.3364,0.113364,False
2015-02-01,ADP,buy_call,1.5275,1,7.6457,6.1182,0.061182,False
2015-02-01,AMGN,buy_call,1.4298,1,3.5859,2.1561,0.021561,False
2015-02-01,AMT,buy_call,1.5275,1,2.2589,0.7313,0.007313,False
2015-02-01,AMZN,buy_call,1.9357,1,7.2293,5.2936,0.052936,False
2015-02-01,AXP,buy_call,1.3718,1,1.4129,0.0411,0.000411,False
2015-02-01,BA,buy_call,1.5176,1,3.7697,2.252,0.02252,False
2015-02-01,BAC,buy_call,1.6176,1,4.3565,2.7389,0.027389,False
2015-02-01,BDX,buy_call,1.2442,1,6.2573,5.0131,0.050131,False
2015-02-01,BIIB,buy_call,1.4298,1,5.2498,3.8199,0.038199,False
2015-02-01,BLK,buy_call,1.3855,1,9.0776,7.6921,0.076921,False
2015-02-01,BMY,buy_call,1.4298,1,1.0785,-0.3513,-0.003513,False
2015-02-01,BRK-B,buy_call,0.9151,1,2.4321,1.5169,0.015169,False
2015-02-01,C,buy_call,1.5176,1,11.6744,10.1567,0.101567,False
2015-02-01,CAT,buy_call,1.6349,1,4.5139,2.879,0.02879,False
2015-02-01,CL,buy_call,1.062,1,5.4379,4.3759,0.043759,False
2015-02-01,CMCSA,buy_call,1.5685,1,12.1616,10.5931,0.105931,False
2015-02-01,COST,buy_call,1.3044,1,2.7764,1.472,0.01472,False
2015-02-01,CRM,buy_call,1.9703,1,22.9052,20.935,0.20935,False
2015-02-01,CSCO,buy_call,1.5275,1,12.677,11.1495,0.111495,False
2015-02-01,CTSH,buy_call,1.5275,1,15.4443,13.9167,0.139167,False
2015-02-01,CVS,buy_call,1.5039,1,6.1935,4.6896,0.046896,False
2015-02-01,CVX,buy_call,1.5496,1,4.0476,2.498,0.02498,False
2015-02-01,DD,buy_call,1.5275,1,9.0345,7.507,0.07507,False
2015-02-01,DHR,buy_call,1.2442,1,5.9481,4.7039,0.047039,False
2015-02-01,DIS,buy_call,1.6825,1,14.4239,12.7414,0.127414,False
2015-02-01,ELV,buy_call,1.5039,1,8.5136,7.0097,0.070097,False
2015-02-01,EOG,buy_call,1.6349,1,0.9744,-0.6604,-0.006604,False
2015-02-01,F,buy_call,1.6349,1,12.2144,10.5795,0.105795,False
2015-02-01,FDX,buy_call,1.5275,1,4.6537,3.1262,0.031262,False
2015-02-01,GE,buy_call,1.6349,1,8.7903,7.1555,0.071555,False
2015-02-01,GILD,buy_call,1.4298,1,-1.2401,-1.4298,-0.014298,False
2015-02-01,GIS,buy_call,1.1301,1,3.2935,2.1634,0.021634,False
